STATE_CODE,STATE_CODE_EXP,SHRP_ID,SURVEY_DATE,HPMS16_CRACKING_PERCENT_JPCC,MEPDG_CRACKING_PERCENT_JPCC
37,North Carolina,0208,11/17/1999,0,0
37,North Carolina,0209,11/09/1999,0,0
37,North Carolina,0210,11/16/1999,0,6
89,Quebec,3015,10/07/1999,0,0
89,Quebec,3015,03/02/2000,0,0
10,Delaware,0201,06/13/2000,0,0
10,Delaware,0259,06/12/2000,0,0
10,Delaware,0260,06/14/2000,0,0
10,Delaware,0212,06/12/2000,0,0
10,Delaware,0211,06/13/2000,0,0
10,Delaware,0210,06/12/2000,0,0
10,Delaware,0209,06/13/2000,0,0
10,Delaware,0208,06/12/2000,0,0
10,Delaware,0207,06/13/2000,0,0
10,Delaware,0206,06/13/2000,0,0
10,Delaware,0205,06/14/2000,15,24
10,Delaware,0204,06/12/2000,0,0
10,Delaware,0203,06/13/2000,0,0
10,Delaware,0202,06/12/2000,0,0
42,Pennsylvania,1627,08/09/2000,0,
42,Pennsylvania,9027,06/28/2000,0,
42,Pennsylvania,3044,06/27/2000,0,20
37,North Carolina,3807,08/29/2000,0,9
42,Pennsylvania,0605,08/03/2000,25,
42,Pennsylvania,0659,08/01/2000,11,
89,Quebec,3016,10/19/2000,0,0
42,Pennsylvania,0601,08/01/2000,0,
37,North Carolina,0259,10/03/2000,0,0
37,North Carolina,0205,10/03/2000,3,9
37,North Carolina,0201,10/03/2000,0,0
37,North Carolina,0209,10/03/2000,0,0
37,North Carolina,0210,10/03/2000,0,0
37,North Carolina,0202,10/03/2000,0,0
37,North Carolina,0206,10/04/2000,0,0
37,North Carolina,0203,10/04/2000,0,0
37,North Carolina,0207,10/04/2000,0,0
37,North Carolina,0260,10/04/2000,0,0
37,North Carolina,0211,10/04/2000,0,0
37,North Carolina,0212,10/04/2000,0,0
37,North Carolina,0208,10/04/2000,0,0
37,North Carolina,0204,10/04/2000,0,0
42,Pennsylvania,0602,08/01/2000,12,
42,Pennsylvania,0601,11/17/1992,0,
42,Pennsylvania,0602,11/17/1992,18,
42,Pennsylvania,0603,08/04/1992,13,
42,Pennsylvania,0604,08/05/1992,30,
42,Pennsylvania,0605,08/04/1992,20,
42,Pennsylvania,0606,08/04/1992,29,
42,Pennsylvania,0607,08/05/1992,22,
42,Pennsylvania,0608,08/05/1992,0,
42,Pennsylvania,A411,08/30/1995,27,
42,Pennsylvania,A430,08/30/1995,9,
42,Pennsylvania,1606,08/10/1995,9,
42,Pennsylvania,C410,08/10/1995,10,
42,Pennsylvania,C411,08/10/1995,0,
42,Pennsylvania,C430,08/10/1995,18,
54,West Virginia,4004,10/26/1995,100,
54,West Virginia,4003,10/26/1995,0,
10,Delaware,1201,11/16/1995,9,
37,North Carolina,0201,11/27/1995,0,0
37,North Carolina,0209,11/27/1995,0,0
37,North Carolina,3816,12/20/1995,0,0
50,Vermont,1682,05/02/1991,33,
37,North Carolina,3008,01/31/1996,0,0
42,Pennsylvania,0601,07/24/1990,0,
42,Pennsylvania,0602,07/24/1990,33,
42,Pennsylvania,0604,07/25/1990,13,
42,Pennsylvania,0605,07/24/1990,15,
42,Pennsylvania,0607,07/24/1990,50,
42,Pennsylvania,0659,07/24/1990,0,
37,North Carolina,3011,04/19/1996,0,0
42,Pennsylvania,1606,04/11/1996,9,
42,Pennsylvania,3044,04/15/1996,0,16
10,Delaware,0259,05/06/1996,0,0
10,Delaware,0204,05/06/1996,0,0
10,Delaware,0208,05/08/1996,0,0
10,Delaware,0212,05/08/1996,0,0
10,Delaware,0210,05/08/1996,0,0
10,Delaware,0202,05/08/1996,0,0
10,Delaware,0206,05/08/1996,0,0
10,Delaware,0207,05/08/1996,0,0
10,Delaware,0203,05/08/1996,0,0
10,Delaware,0211,05/08/1996,0,0
10,Delaware,0209,05/08/1996,0,0
10,Delaware,0201,05/08/1996,0,0
10,Delaware,0205,05/08/1996,0,0
37,North Carolina,0201,04/23/1996,0,0
54,West Virginia,4004,06/04/1996,100,
42,Pennsylvania,1606,08/08/1996,9,
37,North Carolina,0201,08/20/1996,0,0
36,New York,4017,08/08/1996,100,
36,New York,4018,09/19/1996,13,
89,Quebec,3001,09/11/1996,3,3
34,New Jersey,4042,10/10/1996,0,
89,Quebec,3015,11/19/1996,0,0
10,Delaware,0260,05/09/1996,0,0
37,North Carolina,3816,12/12/1996,0,0
37,North Carolina,0207,03/10/1997,0,0
37,North Carolina,0260,03/10/1997,0,0
37,North Carolina,0211,03/10/1997,0,0
37,North Carolina,0208,03/10/1997,0,0
37,North Carolina,0212,03/10/1997,0,0
37,North Carolina,0259,03/17/1997,0,0
37,North Carolina,0205,03/17/1997,0,0
37,North Carolina,0201,03/17/1997,0,0
37,North Carolina,0209,03/17/1997,0,0
37,North Carolina,0210,03/18/1997,0,6
37,North Carolina,0202,03/18/1997,0,0
37,North Carolina,0206,03/18/1997,0,0
37,North Carolina,0204,03/20/1997,0,0
37,North Carolina,0203,03/20/1997,0,0
36,New York,4018,07/08/1997,38,
89,Quebec,3015,05/20/1997,0,0
36,New York,4017,04/15/1997,100,
89,Quebec,3016,06/03/1997,0,0
37,North Carolina,3807,08/12/1997,0,9
10,Delaware,0210,11/08/2001,0,0
42,Pennsylvania,3044,01/29/2002,0,4
42,Pennsylvania,1690,05/07/2002,36,
37,North Carolina,3008,04/17/2002,0,26
42,Pennsylvania,0601,07/11/2001,0,
42,Pennsylvania,0659,07/11/2001,0,
42,Pennsylvania,9027,02/19/2002,0,
42,Pennsylvania,A430,05/08/2002,7,
42,Pennsylvania,A411,05/08/2002,27,
42,Pennsylvania,A410,05/08/2002,55,
36,New York,4018,05/29/2002,13,
37,North Carolina,0201,05/20/2002,0,3
9,Connecticut,4008,06/05/2002,38,
42,Pennsylvania,1606,05/16/2002,18,
37,North Carolina,0259,10/07/2002,0,0
37,North Carolina,0209,10/07/2002,0,0
37,North Carolina,0210,10/07/2002,0,0
37,North Carolina,0202,10/08/2002,0,0
10,Delaware,1201,06/10/1998,9,
42,Pennsylvania,0660,08/05/1992,33,
42,Pennsylvania,0661,08/05/1992,9,
42,Pennsylvania,0662,08/05/1992,10,
42,Pennsylvania,0659,11/17/1992,11,
37,North Carolina,0201,05/24/2001,0,0
89,Quebec,3015,06/06/2001,0,0
42,Pennsylvania,1606,05/30/2001,18,
37,North Carolina,3008,11/15/2001,0,26
10,Delaware,0209,11/01/2001,0,0
42,Pennsylvania,1606,09/18/2001,18,
10,Delaware,0259,10/31/2001,0,0
37,North Carolina,0204,10/05/2001,0,0
37,North Carolina,0203,10/03/2001,0,0
37,North Carolina,0202,10/03/2001,0,0
37,North Carolina,0201,10/02/2001,0,0
37,North Carolina,0206,10/03/2001,0,0
37,North Carolina,0207,10/03/2001,0,0
37,North Carolina,0259,10/01/2001,0,0
37,North Carolina,0208,10/04/2001,0,0
